Code,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_bigfirm,IR_smallfirm,IR_firm,IR_House,IR_saving,IR_gen_credit,USB_10,LeadingCI,LaggingCI,vkospi,EPU,MP,FiscalP,TradeP,FXP,COFIX_new
20.Mar,93.5000 ,90.1000 ,119.8000 ,117.9000 ,110.0000 ,112.3000 ,95.9000 ,90.9000 ,118.2000 ,109.7000 ,103.4000 ,114.1000 ,109.8000 ,103.2000 ,114.1000 ,85.2000 ,76.2000 ,109.8000 ,103.2000 ,114.1000 ,107.2000 ,107.0000 ,4.2000 ,27789.0000 ,26609.0000 ,774.0000 ,319.0000 ,80.0000 ,87.0000 ,91.4000 ,89.9000 ,92.7000 ,69.0000 ,73.0000 ,82.0000 ,79.0000 ,90.0000 ,109.7000 ,122.1000 ,101.7000 ,114.5000 ,194986.6000 ,118435.8000 ,76550.9000 ,982803.6000 ,2975352.3000 ,1.2300 ,1.6500 ,1.0300 ,1.0910 ,1.2660 ,1.4850 ,1.8400 ,0.7500 ,8.0050 ,1220.0900 ,1134.7500 ,1350.3500 ,1508.4500 ,875.6900 ,1273.9300 ,99.9400 ,98.0600 ,99.7900 ,99.7700 ,100.3600 ,101.8800 ,100.0300 ,99.6600 ,113.5300 ,102.4000 ,104.0200 ,103.6900 ,104.8200 ,117.9000 ,71.8700 ,108.4100 ,103.6500 ,119.1400 ,95.9900 ,1754.6400 ,569.0700 ,1.7000 ,29.2100 ,0.4550 ,258.1650 ,2.7200 ,3.1300 ,2.9400 ,2.4800 ,2.8400 ,3.4900 ,0.8700 ,117.0000 ,116.0000 ,48.5500 ,148.2261 ,189.1369 ,203.6933 ,39.0949 ,139.1580 ,1.2600 
20.Apr,96.2000 ,91.3000 ,119.5000 ,110.7000 ,101.0000 ,112.9000 ,94.6000 ,87.1000 ,117.9000 ,103.9000 ,97.5000 ,114.6000 ,103.6000 ,96.8000 ,114.6000 ,89.7000 ,77.8000 ,103.7000 ,96.8000 ,114.6000 ,107.7000 ,111.6000 ,4.2000 ,27734.0000 ,26562.0000 ,714.0000 ,367.0000 ,86.0000 ,92.0000 ,91.6000 ,90.4000 ,92.8000 ,53.0000 ,55.0000 ,71.0000 ,67.0000 ,92.0000 ,103.9000 ,121.0000 ,102.5000 ,109.4000 ,197381.2000 ,120984.9000 ,76396.3000 ,1004318.1000 ,3010622.3000 ,1.1000 ,2.1200 ,0.8930 ,1.0240 ,1.2600 ,1.5040 ,2.1450 ,0.7500 ,8.3670 ,1225.2300 ,1135.3100 ,1331.7100 ,1518.9300 ,870.5300 ,1262.2700 ,99.5000 ,97.6500 ,99.3800 ,99.8600 ,100.3400 ,98.2800 ,100.0600 ,99.4400 ,96.9500 ,100.8900 ,103.4500 ,100.4800 ,103.3400 ,101.6200 ,43.6500 ,111.8700 ,101.3500 ,115.3200 ,93.9100 ,1947.5600 ,645.1800 ,1.7000 ,16.5500 ,0.6110 ,256.0940 ,2.6500 ,2.8600 ,2.7700 ,2.5800 ,2.7400 ,3.5000 ,0.6600 ,117.1000 ,116.1000 ,30.5100 ,136.8411 ,85.1586 ,162.0184 ,46.1099 ,49.0681 ,1.2000 
20.May,87.0000 ,84.1000 ,117.4000 ,102.9000 ,94.2000 ,115.0000 ,87.8000 ,83.7000 ,113.9000 ,96.3000 ,90.9000 ,115.0000 ,95.9000 ,90.2000 ,115.0000 ,79.3000 ,70.9000 ,95.9000 ,90.2000 ,115.0000 ,103.6000 ,105.4000 ,4.5000 ,28209.0000 ,26930.0000 ,735.0000 ,443.0000 ,94.0000 ,100.0000 ,91.7000 ,90.6000 ,92.8000 ,50.0000 ,53.0000 ,70.0000 ,64.0000 ,93.0000 ,96.3000 ,117.6000 ,104.6000 ,110.3000 ,203501.1000 ,123540.7000 ,79960.4000 ,1033749.4000 ,3049132.5000 ,1.0200 ,1.9200 ,0.7790 ,0.8780 ,1.1290 ,1.3940 ,2.1790 ,0.5000 ,8.4400 ,1228.6700 ,1145.6500 ,1338.7400 ,1509.0800 ,879.1400 ,1266.3500 ,99.4400 ,98.4500 ,99.9400 ,100.1900 ,100.3600 ,96.0600 ,99.9700 ,99.8400 ,85.5000 ,100.2000 ,103.6100 ,98.5600 ,105.2300 ,93.3900 ,65.4200 ,114.1300 ,102.5300 ,115.1700 ,94.3700 ,2029.6000 ,713.6800 ,1.6000 ,28.5600 ,0.6150 ,255.9440 ,2.7500 ,2.8800 ,2.8400 ,2.5200 ,2.6700 ,3.3300 ,0.6700 ,117.1000 ,116.4000 ,25.6400 ,143.2036 ,89.8670 ,158.3554 ,110.5593 ,64.1326 ,1.0600 
20.Jun,91.3000 ,87.2000 ,119.2000 ,108.9000 ,101.6000 ,113.9000 ,96.1000 ,91.0000 ,115.7000 ,103.6000 ,97.3000 ,114.7000 ,103.4000 ,96.9000 ,114.7000 ,81.7000 ,75.8000 ,103.4000 ,96.9000 ,114.7000 ,106.7000 ,106.9000 ,4.3000 ,28283.0000 ,27055.0000 ,715.0000 ,405.0000 ,104.0000 ,108.0000 ,92.1000 ,91.0000 ,93.1000 ,53.0000 ,52.0000 ,71.0000 ,65.0000 ,95.0000 ,103.6000 ,118.1000 ,106.5000 ,120.7000 ,205540.8000 ,125739.8000 ,79801.1000 ,1054917.6000 ,3073925.8000 ,0.7900 ,1.5600 ,0.7190 ,0.8500 ,1.1270 ,1.3920 ,2.2180 ,0.5000 ,8.5150 ,1210.0100 ,1124.6900 ,1361.7700 ,1515.6800 ,892.4600 ,1270.6800 ,99.7100 ,98.6800 ,99.9400 ,99.8000 ,100.8000 ,97.6300 ,100.0100 ,99.9700 ,90.6500 ,100.6300 ,103.8900 ,99.5300 ,103.0800 ,90.7900 ,86.2600 ,104.7500 ,102.8300 ,114.5800 ,94.9400 ,2108.3300 ,737.9700 ,1.6000 ,38.3100 ,0.6730 ,257.2170 ,2.5400 ,2.9000 ,2.8100 ,2.4900 ,2.5800 ,2.9300 ,0.7300 ,117.8000 ,116.7000 ,31.0700 ,137.7441 ,93.1479 ,148.0473 ,79.6332 ,51.9990 ,0.8900 
20.Jul,94.9000 ,90.0000 ,120.6000 ,111.3000 ,103.9000 ,113.0000 ,99.3000 ,93.3000 ,117.7000 ,105.5000 ,99.2000 ,114.5000 ,105.7000 ,99.1000 ,114.5000 ,77.2000 ,68.5000 ,105.8000 ,99.1000 ,114.5000 ,102.0000 ,103.0000 ,4.0000 ,28244.0000 ,27106.0000 ,606.0000 ,420.0000 ,109.0000 ,112.0000 ,92.7000 ,91.8000 ,93.5000 ,55.0000 ,55.0000 ,74.0000 ,69.0000 ,96.0000 ,105.5000 ,118.5000 ,106.9000 ,111.7000 ,209347.6000 ,127777.8000 ,81569.8000 ,1074266.0000 ,3091910.6000 ,0.7900 ,1.4800 ,0.6890 ,0.8260 ,1.0940 ,1.3600 ,2.2190 ,0.5000 ,8.5440 ,1198.9000 ,1122.3800 ,1372.9800 ,1517.3300 ,887.5700 ,1282.4500 ,99.6300 ,99.1500 ,100.2600 ,99.9200 ,99.8400 ,99.6200 ,100.0800 ,100.2100 ,96.4700 ,101.0600 ,103.7100 ,100.5800 ,101.6500 ,91.0100 ,90.7200 ,81.8300 ,102.4500 ,115.1600 ,95.0000 ,2249.3700 ,815.3000 ,1.7000 ,40.7100 ,0.6710 ,258.5430 ,2.5500 ,2.8700 ,2.7100 ,2.4500 ,2.5200 ,2.9200 ,0.6200 ,118.5000 ,116.9000 ,23.5700 ,112.8953 ,70.3338 ,125.8627 ,60.8742 ,36.4265 ,0.8100 
20.Aug,94.6000 ,89.8000 ,120.4000 ,112.2000 ,104.4000 ,114.6000 ,96.5000 ,92.2000 ,120.7000 ,106.3000 ,99.6000 ,116.3000 ,106.1000 ,99.1000 ,116.3000 ,77.7000 ,72.0000 ,106.2000 ,99.2000 ,116.3000 ,109.3000 ,110.7000 ,3.1000 ,27949.0000 ,27085.0000 ,367.0000 ,357.0000 ,137.0000 ,140.0000 ,93.1000 ,92.3000 ,93.9000 ,62.0000 ,63.0000 ,79.0000 ,76.0000 ,91.0000 ,106.3000 ,112.2000 ,106.8000 ,115.5000 ,211009.6000 ,129496.8000 ,81512.8000 ,1092006.5000 ,3104506.6000 ,0.6800 ,1.4300 ,0.6710 ,0.8290 ,1.0920 ,1.3730 ,2.1920 ,0.5000 ,8.5420 ,1186.8500 ,1119.5200 ,1403.3600 ,1558.0900 ,896.1700 ,1303.2200 ,100.1900 ,101.8000 ,100.2500 ,100.2200 ,99.7600 ,99.8300 ,100.1700 ,100.1100 ,96.1100 ,101.3300 ,104.0900 ,100.7700 ,101.0000 ,85.4900 ,91.2500 ,59.4400 ,102.3100 ,115.1800 ,94.9600 ,2326.1700 ,848.2400 ,1.8000 ,42.3400 ,0.7020 ,259.5800 ,2.4800 ,2.8000 ,2.6700 ,2.3900 ,2.5200 ,2.8600 ,0.6500 ,119.5000 ,117.2000 ,27.7700 ,138.3464 ,91.2772 ,135.5599 ,41.4296 ,34.3444 ,0.8000 
20.Sep,95.5000 ,93.0000 ,121.7000 ,118.8000 ,113.0000 ,110.0000 ,98.1000 ,92.2000 ,120.3000 ,109.6000 ,104.4000 ,113.2000 ,109.7000 ,104.2000 ,113.2000 ,82.0000 ,74.5000 ,109.8000 ,104.2000 ,113.2000 ,106.0000 ,108.2000 ,3.6000 ,28012.0000 ,27012.0000 ,561.0000 ,303.0000 ,133.0000 ,136.0000 ,93.5000 ,92.6000 ,94.3000 ,69.0000 ,67.0000 ,80.0000 ,79.0000 ,92.0000 ,109.6000 ,117.2000 ,106.7000 ,113.1000 ,214482.7000 ,131125.3000 ,83357.4000 ,1114921.7000 ,3116644.3000 ,0.6300 ,1.2100 ,0.7050 ,0.9080 ,1.1940 ,1.5000 ,2.2390 ,0.5000 ,8.5900 ,1178.8000 ,1116.0000 ,1391.0200 ,1530.4400 ,893.1700 ,1289.6100 ,100.7400 ,104.7900 ,100.2700 ,99.4400 ,99.3100 ,99.4000 ,99.8700 ,100.8700 ,96.6700 ,101.3400 ,104.2400 ,100.8400 ,104.1100 ,89.8900 ,85.5000 ,52.0900 ,101.9300 ,113.1000 ,94.9300 ,2327.8900 ,848.1500 ,1.9000 ,39.6300 ,0.7950 ,260.1900 ,2.4300 ,2.8600 ,2.6800 ,2.4400 ,2.5300 ,2.8900 ,0.6800 ,120.3000 ,117.5000 ,24.1500 ,104.5886 ,72.8532 ,121.1729 ,36.1532 ,42.5181 ,0.8800 
20.Oct,97.5000 ,94.5000 ,124.0000 ,117.0000 ,111.4000 ,107.8000 ,97.1000 ,92.6000 ,121.1000 ,109.0000 ,104.3000 ,112.1000 ,109.1000 ,104.1000 ,112.1000 ,86.5000 ,79.4000 ,109.1000 ,104.1000 ,112.1000 ,107.1000 ,109.3000 ,3.7000 ,28116.0000 ,27088.0000 ,606.0000 ,260.0000 ,159.0000 ,162.0000 ,93.8000 ,92.9000 ,94.6000 ,65.0000 ,65.0000 ,78.0000 ,76.0000 ,90.0000 ,109.0000 ,116.2000 ,107.9000 ,111.1000 ,214732.1000 ,131573.0000 ,83159.1000 ,1131569.2000 ,3153037.4000 ,0.6300 ,1.1100 ,0.6800 ,0.9100 ,1.1960 ,1.5070 ,2.2390 ,0.5000 ,8.5980 ,1144.6800 ,1088.0900 ,1347.5500 ,1486.2700 ,867.0000 ,1255.3600 ,100.1800 ,104.8500 ,100.1700 ,100.4200 ,99.6200 ,99.0500 ,99.9000 ,100.1600 ,91.9000 ,100.8300 ,103.3000 ,99.8600 ,102.7200 ,87.3400 ,81.3600 ,52.8900 ,99.6200 ,111.4900 ,92.6600 ,2267.1500 ,792.6500 ,1.8000 ,39.4000 ,0.8270 ,260.3520 ,2.4900 ,2.8100 ,2.7000 ,2.4700 ,2.5400 ,3.1500 ,0.7900 ,121.0000 ,117.7000 ,31.9700 ,106.0574 ,59.9074 ,115.2852 ,42.0636 ,24.1656 ,0.8700 
20.Nov,96.2000 ,94.4000 ,124.4000 ,118.3000 ,111.3000 ,106.4000 ,95.5000 ,90.3000 ,120.0000 ,109.4000 ,103.4000 ,110.9000 ,109.5000 ,103.1000 ,110.9000 ,88.0000 ,77.5000 ,109.6000 ,103.2000 ,110.9000 ,107.0000 ,109.9000 ,3.4000 ,28208.0000 ,27241.0000 ,503.0000 ,321.0000 ,134.0000 ,142.0000 ,94.3000 ,93.4000 ,95.2000 ,72.0000 ,73.0000 ,82.0000 ,81.0000 ,90.0000 ,109.4000 ,120.9000 ,108.3000 ,111.0000 ,220298.6000 ,134305.0000 ,85993.6000 ,1150469.7000 ,3182087.9000 ,0.6600 ,1.1000 ,0.7000 ,0.9650 ,1.2950 ,1.6100 ,2.2470 ,0.5000 ,8.6360 ,1116.7600 ,1069.4000 ,1320.6600 ,1474.0100 ,853.4900 ,1225.4700 ,100.0900 ,101.2400 ,100.2700 ,100.0900 ,99.5000 ,98.5900 ,99.9700 ,100.4000 ,91.3600 ,100.7400 ,102.9600 ,99.7000 ,100.3800 ,86.1000 ,84.7300 ,63.9000 ,98.4800 ,110.5200 ,92.2200 ,2591.3400 ,886.1100 ,1.8000 ,40.9400 ,0.9100 ,260.7210 ,2.4900 ,2.8600 ,2.6800 ,2.5600 ,2.5600 ,3.0100 ,0.8700 ,122.0000 ,117.9000 ,20.7700 ,120.8002 ,69.4797 ,116.8681 ,135.3692 ,69.9382 ,0.9000 
20.Dec,99.2000 ,95.1000 ,127.2000 ,120.0000 ,112.9000 ,106.5000 ,92.6000 ,86.7000 ,117.9000 ,111.3000 ,105.8000 ,111.2000 ,111.3000 ,105.5000 ,111.2000 ,86.3000 ,79.1000 ,111.4000 ,105.5000 ,111.2000 ,110.5000 ,112.3000 ,4.1000 ,27661.0000 ,26526.0000 ,667.0000 ,338.0000 ,120.0000 ,130.0000 ,95.2000 ,94.0000 ,96.2000 ,76.0000 ,75.0000 ,83.0000 ,81.0000 ,91.0000 ,111.3000 ,115.4000 ,107.2000 ,111.5000 ,221485.3000 ,136081.3000 ,85404.1000 ,1168351.7000 ,3195857.6000 ,0.6600 ,1.0900 ,0.7190 ,0.9700 ,1.3230 ,1.6750 ,2.2110 ,0.5000 ,8.6190 ,1095.1300 ,1054.8100 ,1331.7500 ,1470.9100 ,854.3100 ,1231.5400 ,100.3300 ,101.5100 ,100.3300 ,100.4200 ,99.4000 ,99.5100 ,100.0300 ,100.2000 ,94.6800 ,101.4900 ,103.1900 ,100.7600 ,99.3100 ,85.6000 ,95.3700 ,69.3800 ,99.0300 ,108.2200 ,92.7800 ,2873.4700 ,968.4200 ,1.8000 ,47.0200 ,0.9560 ,261.5640 ,2.5100 ,2.8900 ,2.7300 ,2.5900 ,2.5000 ,3.5000 ,0.9300 ,122.7000 ,118.2000 ,22.0900 ,112.2741 ,73.7865 ,99.6030 ,48.2964 ,43.4437 ,0.9000 
21.Jan,99.0000 ,94.4000 ,123.8000 ,119.5000 ,111.0000 ,106.8000 ,93.7000 ,94.4000 ,118.2000 ,111.8000 ,106.1000 ,110.9000 ,111.7000 ,105.7000 ,110.9000 ,73.2000 ,70.4000 ,111.9000 ,105.7000 ,110.9000 ,112.0000 ,114.8000 ,5.7000 ,27388.0000 ,25818.0000 ,1079.0000 ,366.0000 ,109.0000 ,125.0000 ,95.9000 ,94.8000 ,97.0000 ,70.0000 ,73.0000 ,79.0000 ,78.0000 ,89.0000 ,111.8000 ,108.3000 ,106.9000 ,119.1000 ,223949.7000 ,137043.4000 ,86906.3000 ,1190541.7000 ,3235898.1000 ,0.6800 ,1.0300 ,0.6950 ,0.9750 ,1.3160 ,1.7310 ,2.1430 ,0.5000 ,8.5430 ,1097.4900 ,1058.5200 ,1336.3100 ,1496.9300 ,862.9300 ,1237.9800 ,101.0400 ,103.3900 ,100.1900 ,101.1700 ,100.2200 ,101.8200 ,100.2500 ,101.4100 ,102.6000 ,102.9300 ,104.1500 ,102.9800 ,102.5300 ,95.8200 ,105.1300 ,70.3400 ,101.2400 ,107.6000 ,94.8400 ,2976.2100 ,928.7300 ,1.8000 ,52.0000 ,1.0360 ,262.2000 ,2.4100 ,2.9000 ,2.6600 ,2.6300 ,2.4700 ,3.4600 ,1.0800 ,123.4000 ,118.6000 ,35.7300 ,113.1629 ,107.3236 ,134.9579 ,69.8242 ,53.2213 ,0.8600 
21.Feb,99.3000 ,93.6000 ,126.7000 ,126.2000 ,116.2000 ,107.7000 ,98.2000 ,91.5000 ,121.5000 ,115.4000 ,107.8000 ,111.8000 ,115.7000 ,107.7000 ,111.8000 ,83.7000 ,80.7000 ,115.8000 ,107.8000 ,111.8000 ,109.2000 ,110.3000 ,4.9000 ,27718.0000 ,26365.0000 ,820.0000 ,395.0000 ,119.0000 ,139.0000 ,96.8000 ,95.9000 ,97.6000 ,75.0000 ,78.0000 ,82.0000 ,82.0000 ,88.0000 ,115.4000 ,113.0000 ,108.6000 ,117.3000 ,226458.2000 ,137764.0000 ,88694.2000 ,1205549.8000 ,3270977.8000 ,0.7300 ,1.0000 ,0.6710 ,0.9950 ,1.3480 ,1.8450 ,2.0550 ,0.5000 ,8.4390 ,1111.7200 ,1055.1400 ,1344.6000 ,1540.9400 ,875.5300 ,1238.4100 ,101.5800 ,105.6900 ,100.2400 ,100.8200 ,100.2300 ,102.5500 ,100.3900 ,101.3100 ,108.9100 ,104.6300 ,104.7100 ,105.2200 ,106.1900 ,107.2700 ,118.2800 ,69.8300 ,104.2000 ,108.8400 ,98.1900 ,3012.9500 ,913.9400 ,2.0000 ,59.0400 ,1.1740 ,263.3460 ,2.4600 ,2.8500 ,2.6600 ,2.6600 ,2.3900 ,3.6100 ,1.2600 ,124.1000 ,119.0000 ,31.3400 ,104.3263 ,79.7453 ,125.3206 ,43.8572 ,28.0893 ,0.8300 
21.Mar,97.5000 ,92.1000 ,128.6000 ,125.4000 ,115.3000 ,104.8000 ,96.7000 ,91.8000 ,120.1000 ,114.8000 ,107.1000 ,110.1000 ,115.0000 ,107.0000 ,110.1000 ,82.4000 ,80.6000 ,115.1000 ,107.0000 ,110.1000 ,109.0000 ,109.7000 ,4.3000 ,28138.0000 ,26923.0000 ,676.0000 ,411.0000 ,108.0000 ,128.0000 ,97.5000 ,96.8000 ,98.1000 ,78.0000 ,84.0000 ,86.0000 ,84.0000 ,88.0000 ,114.8000 ,112.7000 ,109.7000 ,121.9000 ,230866.9000 ,139867.2000 ,90999.7000 ,1222159.3000 ,3301731.0000 ,0.7500 ,1.0000 ,0.6840 ,1.1330 ,1.5500 ,2.0400 ,2.0910 ,0.5000 ,8.4590 ,1131.0200 ,1040.8600 ,1346.7400 ,1568.0300 ,899.6600 ,1217.2500 ,101.8400 ,105.8400 ,100.2500 ,99.9800 ,100.3100 ,103.9700 ,100.7700 ,101.5500 ,116.9700 ,106.7600 ,105.3700 ,108.0700 ,109.6900 ,104.2400 ,127.3500 ,72.7300 ,107.0900 ,109.7700 ,101.7400 ,3061.4200 ,956.1700 ,2.1000 ,62.3300 ,1.3560 ,265.0280 ,2.5200 ,2.8800 ,2.7200 ,2.7300 ,2.3500 ,3.7000 ,1.6100 ,124.8000 ,119.4000 ,20.4400 ,97.8792 ,90.6743 ,134.6709 ,24.2854 ,35.9893 ,0.8400 
21.Apr,101.4000 ,95.4000 ,126.9000 ,125.5000 ,113.7000 ,105.5000 ,95.7000 ,91.7000 ,118.8000 ,112.9000 ,106.5000 ,110.2000 ,113.1000 ,106.4000 ,110.2000 ,84.0000 ,81.3000 ,113.2000 ,106.4000 ,110.2000 ,108.4000 ,110.1000 ,4.0000 ,28361.0000 ,27214.0000 ,652.0000 ,366.0000 ,114.0000 ,129.0000 ,98.2000 ,97.7000 ,98.6000 ,84.0000 ,91.0000 ,86.0000 ,86.0000 ,87.0000 ,112.9000 ,110.9000 ,109.9000 ,112.2000 ,231764.9000 ,141413.1000 ,90351.8000 ,1248432.7000 ,3351457.8000 ,0.7400 ,0.9800 ,0.6590 ,1.1380 ,1.5770 ,2.0410 ,1.9830 ,0.5000 ,8.3510 ,1119.4000 ,1025.9800 ,1338.4700 ,1549.3800 ,894.9600 ,1212.6200 ,101.9800 ,105.3500 ,100.2000 ,100.1900 ,100.0300 ,104.7100 ,100.8900 ,102.1400 ,119.2600 ,108.4900 ,105.1800 ,109.8700 ,111.9300 ,104.0600 ,123.0700 ,76.3700 ,107.0500 ,110.5100 ,104.4300 ,3147.8600 ,983.4500 ,2.1000 ,61.7200 ,1.3820 ,266.7270 ,2.4400 ,2.8200 ,2.6600 ,2.7300 ,2.3200 ,3.6500 ,1.6400 ,125.6000 ,120.0000 ,18.8400 ,100.6065 ,64.1587 ,109.9164 ,31.8792 ,29.5460 ,0.8200 
21.May,99.6000 ,96.6000 ,129.8000 ,125.2000 ,114.2000 ,105.4000 ,94.4000 ,91.2000 ,117.3000 ,112.7000 ,106.4000 ,110.1000 ,112.7000 ,106.0000 ,110.1000 ,82.5000 ,80.4000 ,112.8000 ,106.0000 ,110.1000 ,111.9000 ,114.8000 ,4.0000 ,28698.0000 ,27550.0000 ,641.0000 ,381.0000 ,117.0000 ,127.0000 ,98.9000 ,98.5000 ,99.2000 ,89.0000 ,98.0000 ,89.0000 ,88.0000 ,86.0000 ,112.7000 ,108.9000 ,109.5000 ,120.0000 ,234800.7000 ,142902.4000 ,91898.3000 ,1261781.8000 ,3382048.2000 ,0.6800 ,0.9700 ,0.6110 ,1.1340 ,1.6470 ,2.1310 ,1.8910 ,0.5000 ,8.2590 ,1123.2800 ,1029.1400 ,1363.9100 ,1581.0500 ,926.2400 ,1244.0600 ,102.0500 ,105.1600 ,100.3600 ,101.0000 ,99.8800 ,104.6600 ,100.8900 ,102.3100 ,119.9200 ,109.3600 ,105.4700 ,110.7100 ,115.3400 ,113.3700 ,130.2100 ,84.0500 ,108.7300 ,112.8200 ,106.3500 ,3203.9200 ,981.7800 ,2.2000 ,65.1700 ,1.5200 ,268.5990 ,2.4200 ,2.8300 ,2.6600 ,2.6900 ,2.2500 ,3.6900 ,1.6200 ,126.4000 ,120.4000 ,17.0400 ,111.0852 ,123.7384 ,120.6856 ,34.7992 ,30.1339 ,0.8200 
21.Jun,100.9000 ,94.9000 ,134.3000 ,125.2000 ,114.1000 ,104.7000 ,96.2000 ,90.6000 ,117.4000 ,114.3000 ,105.8000 ,109.9000 ,114.3000 ,105.4000 ,109.9000 ,78.4000 ,79.5000 ,114.5000 ,105.5000 ,109.9000 ,112.2000 ,114.5000 ,3.8000 ,28730.0000 ,27637.0000 ,586.0000 ,352.0000 ,144.0000 ,155.0000 ,100.0000 ,100.0000 ,100.0000 ,88.0000 ,99.0000 ,88.0000 ,87.0000 ,86.0000 ,114.3000 ,107.9000 ,111.3000 ,127.4000 ,238638.2000 ,144650.4000 ,93987.8000 ,1278380.5000 ,3409916.3000 ,0.6600 ,0.9700 ,0.7980 ,1.3020 ,1.7010 ,2.1030 ,1.9130 ,0.5000 ,8.2900 ,1121.3000 ,1018.5000 ,1351.9400 ,1574.0200 ,918.2500 ,1236.1000 ,102.0500 ,104.5600 ,100.3600 ,101.1100 ,99.7900 ,105.5300 ,100.9500 ,102.0000 ,125.4600 ,110.2800 ,105.7400 ,112.1900 ,114.7700 ,133.1300 ,140.2800 ,91.6900 ,109.7000 ,115.2200 ,107.3700 ,3296.6800 ,1029.9600 ,2.3000 ,71.3800 ,1.3050 ,270.9550 ,2.5300 ,2.8500 ,2.7100 ,2.7400 ,2.3000 ,3.7500 ,1.5200 ,127.1000 ,120.8000 ,14.1700 ,110.0524 ,145.7227 ,122.6839 ,35.2791 ,36.5562 ,0.9200 
21.Jul,100.2000 ,94.6000 ,138.7000 ,126.3000 ,113.9000 ,107.8000 ,94.9000 ,91.5000 ,114.2000 ,114.7000 ,106.2000 ,112.1000 ,114.5000 ,105.6000 ,112.1000 ,86.1000 ,85.0000 ,114.6000 ,105.6000 ,112.1000 ,117.3000 ,119.2000 ,3.2000 ,28568.0000 ,27648.0000 ,441.0000 ,351.0000 ,120.0000 ,129.0000 ,100.9000 ,101.2000 ,100.6000 ,90.0000 ,102.0000 ,90.0000 ,89.0000 ,86.0000 ,114.7000 ,106.5000 ,111.3000 ,114.8000 ,241573.4000 ,146453.9000 ,95119.5000 ,1293117.7000 ,3443867.4000 ,0.6900 ,0.9700 ,0.9100 ,1.4190 ,1.6860 ,1.9760 ,1.8880 ,0.5000 ,8.2450 ,1143.9800 ,1037.2500 ,1352.7200 ,1580.0000 ,914.1100 ,1245.8900 ,102.2600 ,104.7500 ,100.3800 ,102.1100 ,99.9100 ,107.0700 ,101.0000 ,102.0800 ,135.7500 ,112.1900 ,106.4500 ,115.1000 ,118.0000 ,145.1300 ,145.7800 ,101.4900 ,113.0000 ,127.4200 ,111.5200 ,3202.3200 ,1031.1400 ,2.3000 ,72.4900 ,1.0660 ,272.1840 ,2.4500 ,2.8500 ,2.6800 ,2.8100 ,2.3400 ,3.8600 ,1.3200 ,127.4000 ,121.2000 ,17.3000 ,117.6475 ,118.6887 ,123.0398 ,30.8735 ,33.1240 ,0.9500 
21.Aug,100.6000 ,95.6000 ,133.3000 ,127.4000 ,112.9000 ,113.1000 ,96.3000 ,89.8000 ,118.6000 ,115.7000 ,105.0000 ,116.1000 ,115.9000 ,104.6000 ,116.1000 ,83.7000 ,81.0000 ,116.0000 ,104.6000 ,116.1000 ,111.4000 ,113.3000 ,2.6000 ,28346.0000 ,27603.0000 ,310.0000 ,301.0000 ,121.0000 ,132.0000 ,101.8000 ,102.5000 ,101.2000 ,84.0000 ,95.0000 ,86.0000 ,86.0000 ,85.0000 ,115.7000 ,108.3000 ,110.9000 ,119.4000 ,242736.0000 ,148146.7000 ,94589.3000 ,1309742.3000 ,3493539.1000 ,0.7700 ,1.0000 ,1.0010 ,1.4110 ,1.6530 ,1.9050 ,1.8380 ,0.7500 ,8.1700 ,1160.3400 ,1056.3100 ,1365.6300 ,1601.1100 ,921.3400 ,1269.1600 ,102.7500 ,106.2000 ,100.3800 ,102.4600 ,99.9200 ,107.9000 ,101.1000 ,102.3000 ,140.0500 ,113.3900 ,106.8800 ,116.6700 ,121.2300 ,168.7200 ,140.9100 ,105.3200 ,114.6500 ,126.8000 ,112.9500 ,3199.2700 ,1038.3300 ,2.4000 ,67.7300 ,0.9040 ,273.0920 ,2.5600 ,2.9300 ,2.7700 ,2.8800 ,2.3800 ,3.9700 ,1.2800 ,127.5000 ,121.5000 ,14.7600 ,116.0579 ,133.5666 ,111.7298 ,22.5005 ,48.3487 ,1.0200 
